"Firm_plan","Bun_Code","PU_code","Ten_San_Pham","SL_Sheet","SL_Bun_Can_Tach","SL_Bun_Can_Do"
"FPRO-260212-0045","BDB-000164","PVN-001618","OrthoLite Ultra-Nike GREY/17-1501TPX 0.085D 25+/-4 Asker C 1.1M 2M 4mm","500","15","15"
"FPRO-260326-0007","BDB-000209","PVN-003537","OrthoLite HybridPlus-Recycled MINT GREEN/11-4805TPX Hybrid 0.12D 25+/-4 Asker C 1.1M 2M 4.5mm","2500","81","218"
"FPRO-260326-0001","BDB-000209","PVN-003537","OrthoLite HybridPlus-Recycled MINT GREEN/11-4805TPX Hybrid 0.12D 25+/-4 Asker C 1.1M 2M 4.5mm","2500","81","223-5"
"RPRO-260410-0203","BDB-000209","PVN-003550","OrthoLite HybridPlus-Recycled MINT GREEN/11-4805TPX Hybrid Flat Sheet 0.12D 25+/-4 Asker C 1.1M 2M 6mm","1,380","61",""
"RPRO-260406-1111","BDB-000242","PVN-003614","OrthoLite Regular GREY/17-1501TPX Flat Sheet 0.11D 5-10 Asker C 1.1M 2M 3.5mm","80","2","2"
"RPRO-260407-0081","BDB-000067","PVN-003691","OrthoLite Ultra SEEDPEARL/12-0703TPX Flat Sheet 0.085D 25+/-4 Asker C 1.1M 2M 5.2mm","26","1","1"
"FPRO-260212-0014","BDB-000163","PVN-001556","OrthoLite Ultra-Nike YELLOW/13-0858TPX 0.085D 25+/-4 Asker C 1.1M 2M 4mm","1,500","43","43"
"RPRO-260407-0076","BDB-000058","PVN-001277","OrthoLite Ultra GREEN/16-5932TPX Flat Sheet 0.085D 25+/-4 Asker C 1.1M 2M 4mm","350","10","48"
"RPRO-260409-0284","BDB-000058","PVN-001319","OrthoLite Ultra GREEN/16-5932TPX 0.085D 25+/-4 Asker C 1.1M 2M 5mm","252","9",""
"RPRO-260409-0283","BDB-000058","PVN-001277","OrthoLite Ultra GREEN/16-5932TPX Flat Sheet 0.085D 25+/-4 Asker C 1.1M 2M 4mm","1,015","29",""
"RPRO-260413-0261","BDB-000010","PVN-000101","OrthoLite Regular AIR BLUE/16-4134TPX Flat Sheet 0.11D 25+/-4 Asker C 1.1M 2M 3mm","138","4","4"
"RPRO-260413-0272","BDB-000011","PVN-000121","OrthoLite Regular AIR BLUE/16-4134TPX Flat Sheet 0.13D 35+/-4 Asker C 1.1M 2M 12mm","11","2","2"
"RPRO-260413-0262","BDB-000083","PVN-000930","OrthoLite Eco LT 300C(ADIDAS BLUEBIRD) Flat Sheet 0.11D 25+/-4 Asker C 1.1M 2M 3mm","92","3","3"
"RPRO-260414-0214","BDB-000200","PVN-003425","OrthoLite Ultra SEEDPEARL/12-0703TPX Flat Sheet 0.085D 78-90 Asker F 1.1M 2M 4mm","70","2","2"
"RPRO-260414-0220","BDB-000004","PVN-000445","OrthoLite Regular GREY/17-1501TPX Flat Sheet 0.11D 25+/-4 Asker C 1.1M 2M 13mm","80","8","8"
"FPRO-260324-0054","BDB-000218","PVN-003488","OrthoLite Ultra-Nike SEEDPEARL/12-0703TPX 0.085D 5-10 Asker C 1.1M 2M 4mm","500","15","15"
"FPRO-260127-0022","BDB-000160","PVN-001562","OrthoLite Ultra-Nike LIME GREEN/14-0452TPX 0.085D 25+/-4 Asker C 1.1M 2M 4mm","1,500.","43","43"
"FPRO-260212-0040","BDB-000175","PVN-002966","OrthoLite Ultra-Hybrid-Nike SEEDPEARL/12-0703TPX Hybrid 0.085D 25+/-4 Asker C 1.1M 2M 4mm","2,300","66","66"
"FPRO-260324-0024","BDB-000161","PVN-001560","OrthoLite Ultra-Nike FOSSIL/17-0909TPX 0.085D 25+/-4 Asker C 1.1M 2M 4mm","1050","30","30"
"FPRO-260324-0041","BDB-000129","PVN-001550","OrthoLite Regular-Nike AIR BLUE/16-4134TPX 0.11D 25+/-4 Asker C 1.1M 1.7M 2mm","2500","36","36"
"RPRO-260416-0026","BDB-000058","PVN-003780","[116-361] Ultra 25+/-4 Asker C 0.085D Green 16-5932 Tpx 1.10M X 2.00M 47mm","453","151","151"
